epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,11314,0.24788,0.16047,0.25023,0.81272,0.99897,1,0.995,0.995,0.99897,1,0.995,0.98911,0.14889,0.09709,0.19915,0.74925,0.0007724,0.0007724,0.0007724
33,11646.4,0.23421,0.15838,0.24439,0.80481,0.99896,1,0.995,0.995,0.99896,1,0.995,0.98122,0.12548,0.09963,0.18669,0.74488,0.0007328,0.0007328,0.0007328
34,11978.7,0.25574,0.17841,0.25274,0.81244,0.99895,1,0.995,0.995,0.99895,1,0.995,0.98936,0.15492,0.09763,0.18683,0.74617,0.0006932,0.0006932,0.0006932
35,12309.9,0.23777,0.14545,0.24014,0.81057,0.99895,1,0.995,0.99215,0.99895,1,0.995,0.97657,0.19224,0.12925,0.19802,0.75638,0.0006536,0.0006536,0.0006536
36,12642.7,0.23504,0.17173,0.23575,0.8153,0.99898,1,0.995,0.995,0.99898,1,0.995,0.98519,0.12934,0.10486,0.17688,0.74549,0.000614,0.000614,0.000614
37,12976.6,0.20639,0.15366,0.22688,0.80983,0.99896,1,0.995,0.995,0.99896,1,0.995,0.98963,0.12592,0.10541,0.18268,0.74574,0.0005744,0.0005744,0.0005744
38,13310.3,0.21878,0.14938,0.22278,0.81239,0.99896,1,0.995,0.995,0.99896,1,0.995,0.98348,0.13148,0.10072,0.19395,0.74849,0.0005348,0.0005348,0.0005348
39,13642.5,0.19813,0.14977,0.21402,0.80104,0.99896,1,0.995,0.995,0.99896,1,0.995,0.98505,0.12682,0.11361,0.16963,0.74662,0.0004952,0.0004952,0.0004952
40,13973.3,0.1939,0.14218,0.20961,0.81062,0.99896,1,0.995,0.995,0.99896,1,0.995,0.98013,0.14384,0.10482,0.17128,0.7471,0.0004556,0.0004556,0.0004556
41,14302.2,0.15761,0.11583,0.19107,0.75137,0.99895,1,0.995,0.995,0.99895,1,0.995,0.98769,0.1133,0.09818,0.17027,0.7455,0.000416,0.000416,0.000416
42,14632.8,0.15478,0.11269,0.18262,0.76667,0.99895,1,0.995,0.995,0.99895,1,0.995,0.9796,0.13032,0.10368,0.16789,0.74733,0.0003764,0.0003764,0.0003764
43,14963.6,0.1654,0.1191,0.18784,0.7749,0.99895,1,0.995,0.995,0.99895,1,0.995,0.98631,0.11729,0.09353,0.15958,0.74636,0.0003368,0.0003368,0.0003368
44,15291.7,0.15486,0.11713,0.18032,0.77224,0.99897,1,0.995,0.995,0.99897,1,0.995,0.98636,0.12341,0.10359,0.15304,0.74522,0.0002972,0.0002972,0.0002972
45,15619.4,0.14969,0.11873,0.17447,0.77586,0.99895,1,0.995,0.995,0.99895,1,0.995,0.98467,0.11212,0.09526,0.14547,0.74616,0.0002576,0.0002576,0.0002576
46,15946.4,0.14406,0.12086,0.16991,0.75759,0.99897,1,0.995,0.995,0.99897,1,0.995,0.97957,0.12513,0.09992,0.15261,0.74458,0.000218,0.000218,0.000218
47,16273.6,0.14162,0.12228,0.16438,0.76091,0.99898,1,0.995,0.995,0.99898,1,0.995,0.98551,0.112,0.0992,0.14264,0.74411,0.0001784,0.0001784,0.0001784
48,16601.5,0.13112,0.111,0.16395,0.76388,0.99898,1,0.995,0.995,0.99898,1,0.995,0.98571,0.11128,0.0948,0.13699,0.74321,0.0001388,0.0001388,0.0001388
49,16931.1,0.13203,0.11452,0.15863,0.76418,0.99897,1,0.995,0.995,0.99897,1,0.995,0.98128,0.11423,0.10165,0.13873,0.74465,9.92e-05,9.92e-05,9.92e-05
50,17259.4,0.12057,0.11034,0.14892,0.76707,0.99898,1,0.995,0.995,0.99898,1,0.995,0.98691,0.09534,0.09696,0.13292,0.74126,5.96e-05,5.96e-05,5.96e-05
